File,Mean,Standard Deviation
1.42e-14(0.00e+00)
5.00e+00(7.08e+00)
4.36e-13(5.36e-14)
4.89e+01(3.17e+01)
3.01e+02(4.90e+00)
7.93e+01(4.09e-01)
6.01e+02(1.45e+01)
1.93e+02(1.69e+00)
4.52e+03(1.63e+01)
4.22e+03(1.32e+02)
2.09e+01(3.78e+00)
6.07e+02(2.85e+02)
2.66e+01(6.56e+00)
3.01e+01(3.63e+00)
7.30e+00(2.56e+00)
8.44e+02(6.87e+00)
nan(nan)
2.32e+01(8.24e-01)
1.06e+01(1.69e+00)
nan(nan)
4.97e+02(5.26e+01)
5.43e+03(1.78e+02)
1.92e+03(2.95e+02)
3.88e+02(3.00e+01)
3.89e+02(5.36e+00)
3.00e+02(2.15e-13)
3.61e+03(9.14e+01)
3.34e+02(4.82e+01)
nan(nan)
2.07e+03(5.21e+01)
